PLAYER_NAME,GP,GS,MIN,FG,3P,FT,REB,AST,STL,TO,BLK,PF,PTS,EFF,A.S.G,P.O.M,F.T,S.T,T.T,F.T.D,S.T.D,Seasons,Playoffs,Finals,titles,Retired,H.O.F
Eddie Robinson,278,48,19.2,50.7,25.0,73.9,2.7,0.9,0.8,0.8,0.3,1.2,7.0,7.7,,,,,,,,5,2,0,0,1.0,0.0
Flynn Robinson,494,0,23.4,45.6,--,84.9,2.6,3.1,--,--,--,2.6,14.5,12.9,1.0,,,,,,,7,5,1,1,1.0,0.0
Glenn Robinson,688,668,36.8,45.9,34.0,82.0,6.1,2.7,1.2,3.1,0.6,2.7,20.7,17.8,2.0,,,,,,,11,4,1,1,1.0,0.0
Jackie Robinson,22,0,8.4,46.3,0.0,70.0,1.2,0.6,0.4,0.6,0.2,0.8,3.8,3.5,,,,,,,,3,0,0,0,1.0,0.0
Jamal Robinson,6,0,12.0,13.6,0.0,0.0,1.8,0.3,1.0,0.5,0.0,1.2,1.0,0.5,,,,,,,,1,0,0,0,1.0,0.0
James Robinson,381,51,18.2,39.4,34.8,66.6,1.7,1.9,0.5,1.3,0.2,1.7,7.6,5.8,,,,,,,,7,5,0,0,1.0,0.0
Jerome Robinson,113,12,14.2,36.3,31.0,72.1,1.8,1.2,0.5,0.7,0.2,1.7,4.5,4.4,,,,,,,,3,1,0,0,0.0,0.0
Justin Robinson,43,0,10.3,31.7,31.3,53.8,0.8,1.1,0.3,0.5,0.0,0.9,2.6,2.2,,,,,,,,2,0,0,0,0.0,0.0
Larry Robinson,89,11,13.5,38.4,37.3,66.7,1.9,0.9,0.6,0.7,0.0,1.2,4.5,4.2,,,,,,,,7,0,0,0,1.0,0.0
Mitchell Robinson,209,97,23.5,72.0,0.0,55.5,7.4,0.5,0.8,0.7,1.9,3.0,8.4,16.1,,,,,,,,3,0,0,0,0.0,0.0
Nate Robinson,618,107,22.5,42.3,36.0,79.6,2.3,3.0,0.9,1.4,0.1,2.4,11.0,10.0,,,,,,,,11,3,1,0,1.0,0.0
Oliver Robinson,35,0,4.2,36.1,9.1,66.7,0.5,0.6,0.1,0.4,0.1,0.5,2.9,1.6,,,,,,,,1,0,0,0,1.0,0.0
Rumeal Robinson,336,125,18.1,43.2,34.4,61.1,1.8,3.5,0.9,1.7,0.2,1.8,7.6,7.5,,,,,,,,6,4,0,0,1.0,0.0
Thomas Robinson,313,12,13.4,47.0,0.0,50.5,4.8,0.6,0.5,1.0,0.4,1.7,4.9,7.1,,,,,,,,5,1,0,0,0.0,0.0
Truck Robinson,772,212,32.6,48.3,100.0,66.2,9.4,1.7,0.7,3.0,0.7,2.9,15.5,17.7,2.0,,1.0,0.0,0.0,,,11,8,1,0,1.0,0.0
Wayne Robinson,81,0,19.7,46.0,0.0,72.9,3.6,1.4,0.6,1.8,0.3,2.3,7.9,7.8,,,,,,,,1,0,0,0,1.0,0.0
Glenn Robinson III,304,105,17.4,45.7,37.3,77.9,2.5,0.8,0.5,0.5,0.2,0.9,5.9,6.5,,,,,,,,7,4,0,0,0.0,0.0
Jeremiah Robinson-Earl,44,36,23.0,40.1,33.3,71.4,5.8,1.0,0.6,0.8,0.3,1.7,7.1,9.8,,,,,,,,,,,,,0.0
Bill Robinzine,529,9,21.6,48.2,25.0,74.9,6.1,1.1,1.1,2.0,0.2,3.7,10.5,12.2,,,,,,,,7,2,0,0,1.0,0.0
Dave Robisch,508,0,20.8,45.7,0.0,81.4,5.2,1.6,0.4,1.0,0.4,1.8,8.7,11.0,,,,,,,,8,4,0,0,1.0,0.0
Isaiah Roby,84,40,20.5,49.2,32.4,74.6,4.8,1.4,0.7,1.6,0.5,2.3,7.9,10.3,,,,,,,,,,,,,0.0
Red Rocha,586,0,29.9,37.0,--,75.9,6.6,2.0,--,--,--,3.6,10.9,9.9,2.0,,,,,,,9,7,1,1,1.0,0.0
John Roche,162,2,21.3,46.8,38.9,81.9,1.1,4.0,0.7,1.6,0.1,1.4,8.4,8.9,,,,,,,,4,0,0,0,1.0,0.0
Gene Rock,11,0,--,22.2,--,50.0,--,0.0,--,--,--,0.7,0.9,-0.5,,,,,,,,1,1,0,0,1.0,0.0
Jack Rocker,9,0,--,36.4,--,100.0,--,0.3,--,--,--,0.2,1.9,0.7,,,,,,,,1,0,0,0,1.0,0.0
Guy Rodgers,892,0,32.1,37.8,--,72.1,4.3,7.8,--,--,--,2.9,11.7,15.1,4.0,,,,,,,12,6,1,0,1.0,1.0
Dennis Rodman,911,573,31.7,52.1,23.1,58.4,13.1,1.8,0.7,1.6,0.6,3.1,7.3,18.2,2.0,1.0,0.0,0.0,2.0,7.0,1.0,14,11,6,5,1.0,1.0
Sergio Rodríguez,353,52,15.0,40.9,33.7,73.9,1.5,3.4,0.6,1.4,0.0,1.2,4.9,6.1,,,,,,,,5,1,0,0,0.0,0.0
Lou Roe,66,2,7.3,33.3,25.0,64.7,1.4,0.3,0.2,0.4,0.1,0.8,2.0,1.9,,,,,,,,2,1,0,0,1.0,0.0
Carlos Rogers,298,55,19.0,53.6,25.8,56.2,4.3,0.6,0.4,1.0,0.8,1.7,7.4,8.9,,,,,,,,8,0,0,0,1.0,0.0
Johnny Rogers,69,15,9.2,47.2,0.0,67.9,1.5,0.4,0.2,0.4,0.2,1.3,3.6,3.5,,,,,,,,2,0,0,0,1.0,0.0
Marshall Rogers,26,0,6.8,37.1,--,93.3,0.4,0.4,0.3,--,0.1,1.3,3.8,2.2,,,,,,,,1,1,0,0,1.0,0.0
Rodney Rogers,866,347,25.3,45.1,34.7,69.0,4.5,2.0,1.0,1.9,0.5,3.1,10.9,11.2,,,,,,,,12,9,1,0,1.0,0.0
Roy Rogers,137,50,16.9,48.3,50.0,53.2,3.5,0.4,0.2,0.7,1.5,2.0,4.8,6.9,,,,,,,,3,0,0,0,1.0,0.0
Al Roges,84,0,25.5,36.0,--,71.4,2.8,2.1,--,--,--,2.3,7.5,6.6,,,,,,,,2,0,0,0,1.0,0.0
Ken Rohloff,2,0,3.5,0.0,--,0.0,0.0,0.5,--,--,--,2.0,0.0,0.0,,,,,,,,1,0,0,0,1.0,0.0
Kenny Rollins,168,0,9.9,30.9,--,75.0,1.0,2.0,--,--,--,2.0,4.9,2.5,,,,,,,,3,3,0,0,1.0,0.0
Phil Rollins,177,0,15.5,38.5,--,64.9,2.2,2.6,--,--,--,1.8,5.1,6.1,,,,,,,,3,0,0,0,1.0,0.0
Tree Rollins,1156,463,20.8,52.2,0.0,70.0,5.8,0.6,0.4,0.9,2.2,2.9,5.4,11.1,,,,,,1.0,1.0,18,15,1,0,1.0,0.0
Lorenzo Romar,291,84,17.8,46.4,21.1,74.9,1.3,3.5,0.8,1.2,0.1,1.4,5.9,7.3,,,,,,,,5,1,0,0,1.0,0.0
Rajon Rondo,948,732,30.0,45.6,32.3,61.2,4.6,8.0,1.6,2.7,0.1,2.1,9.8,15.7,4.0,,0.0,0.0,1.0,2.0,2.0,15,10,3,2,0.0,0.0
Sean Rooks,749,230,18.1,45.9,9.1,69.9,3.8,0.8,0.3,1.1,0.7,2.2,6.2,7.4,,,,,,,,12,4,0,0,1.0,0.0
Derrick Rose,672,511,31.7,45.7,31.6,83.0,3.3,5.4,0.8,2.5,0.3,1.3,18.2,16.5,3.0,2.0,1.0,0.0,0.0,,,12,7,0,0,0.0,0.0
Jalen Rose,923,572,30.3,44.3,35.5,80.1,3.5,3.8,0.8,2.3,0.3,2.6,14.3,13.1,,,,,,,,13,6,1,0,1.0,0.0
Malik Rose,813,85,16.5,43.7,17.7,74.3,4.1,0.8,0.6,1.3,0.4,2.3,6.2,7.4,,,,,,,,13,8,2,2,1.0,0.0
Rob Rose,2,0,1.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,,,,,,,1,0,0,0,1.0,0.0
Petey Rosenberg,51,0,--,20.9,--,61.2,--,0.5,--,--,--,1.3,2.9,-1.4,,,,,,,,1,1,1,1,1.0,0.0
Len Rosenbluth,82,0,7.0,32.7,--,65.5,1.8,0.4,--,--,--,0.7,4.2,2.5,,,,,,,,2,1,0,0,1.0,0.0
Hank Rosenstein,60,0,--,30.5,--,64.0,--,0.6,--,--,--,2.9,6.4,1.1,,,,,,,,1,0,0,0,1.0,0.0
Dick Rosenthal,85,0,18.8,36.2,--,70.2,4.1,2.0,--,--,--,2.4,6.8,7.7,,,,,,,,2,1,1,0,1.0,0.0
Quinton Ross,458,169,18.5,41.9,31.8,71.1,2.1,0.9,0.6,0.5,0.3,1.9,4.1,4.9,,,,,,,,7,1,0,0,1.0,0.0
Terrence Ross,656,178,25.0,41.8,36.4,84.0,2.9,1.3,0.8,1.0,0.3,1.7,11.3,9.7,,,,,,,,,,,,,0.0
Doug Roth,42,0,9.8,43.0,0.0,50.0,2.9,0.5,0.2,0.4,0.3,1.7,1.9,4.0,,,,,,,,1,0,0,0,1.0,0.0
Scott Roth,160,6,11.2,37.5,29.1,73.0,1.3,1.2,0.5,0.9,0.1,1.6,4.7,3.8,,,,,,,,3,1,0,0,1.0,0.0
Irv Rothenberg,131,0,--,26.7,--,60.6,--,0.7,--,--,--,2.7,5.4,-0.1,,,,,,,,3,2,0,0,1.0,0.0
Mickey Rottner,100,0,--,29.0,--,47.8,--,1.4,--,--,--,1.6,5.4,0.2,,,,,,,,2,2,1,0,1.0,0.0
Dan Roundfield,746,270,31.4,48.5,11.5,73.8,9.7,2.2,0.9,2.6,1.5,3.4,15.2,19.6,3.0,,0.0,1.0,0.0,3.0,2.0,11,7,0,0,1.0,0.0
Giff Roux,151,0,--,28.0,--,51.1,--,0.3,--,--,--,1.2,4.1,-0.5,,,,,,,,3,2,0,0,1.0,0.0
Ron Rowan,7,0,2.3,44.4,100.0,75.0,0.1,0.1,0.6,0.4,0.0,0.1,1.7,1.3,,,,,,,,1,0,0,0,1.0,0.0
Curtis Rowe,590,0,31.0,48.2,--,70.1,7.2,1.6,0.5,1.6,0.5,2.3,11.6,14.8,1.0,,,,,,,8,4,0,0,1.0,0.0
Jim Rowinski,23,0,5.5,41.7,0.0,84.4,1.5,0.2,0.0,0.4,0.1,0.8,2.5,2.7,,,,,,,,2,0,0,0,1.0,0.0
Derrick Rowland,2,0,4.5,33.3,0.0,50.0,0.5,0.5,0.0,0.0,0.0,0.5,1.5,1.0,,,,,,,,1,0,0,0,1.0,0.0
Brian Rowsom,82,2,13.3,45.5,66.7,81.8,3.3,0.6,0.4,0.5,0.3,1.6,5.6,6.9,,,,,,,,3,0,0,0,1.0,0.0
Brandon Roy,326,300,35.5,45.9,34.8,80.0,4.3,4.7,1.0,1.8,0.2,1.9,18.8,18.1,3.0,,0.0,1.0,1.0,,,6,3,0,0,1.0,0.0
Donald Royal,504,88,16.8,47.3,0.0,77.0,2.8,1.0,0.5,1.1,0.2,1.7,6.3,6.9,,,,,,,,8,6,1,0,1.0,0.0
Bob Royer,42,0,--,33.8,--,70.7,--,2.0,--,--,--,1.7,4.7,2.7,,,,,,,,1,0,0,0,1.0,0.0
Clifford Rozier,173,64,17.2,49.6,18.2,46.5,5.2,0.6,0.5,0.9,0.7,2.5,4.8,7.8,,,,,,,,4,0,0,0,1.0,0.0
Terry Rozier,453,211,25.7,41.3,37.4,81.3,3.9,3.1,0.9,1.2,0.2,1.4,12.3,12.5,,,,,,,,6,5,0,0,0.0,0.0
Ricky Rubio,665,601,30.3,38.9,32.6,84.3,4.2,7.6,1.8,2.6,0.1,2.5,11.1,16.0,,,,,,,,10,2,0,0,0.0,0.0
Guy Rucker,3,0,1.3,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.3,0.0,0.7,,,,,,,,1,0,0,0,1.0,0.0
Delaney Rudd,239,3,9.9,41.3,25.7,76.1,0.8,2.2,0.3,1.0,0.0,1.0,3.4,3.6,,,,,,,,4,3,0,0,1.0,0.0
John Rudd,58,0,12.5,44.4,--,71.0,2.9,0.6,0.3,1.0,0.1,1.6,3.2,4.3,,,,,,,,1,0,0,0,1.0,0.0
Damjan Rudez,146,2,11.2,42.4,37.3,77.4,0.6,0.6,0.2,0.5,0.0,1.0,3.3,2.6,,,,,,,,3,0,0,0,0.0,0.0
John Rudometkin,131,0,12.5,39.9,--,74.3,3.1,0.5,--,--,--,1.5,6.3,5.8,,,,,,,,3,0,0,0,1.0,0.0
Michael Ruffin,414,58,14.4,40.7,0.0,45.9,3.9,0.6,0.5,0.7,0.5,2.3,1.7,5.1,,,,,,,,9,4,0,0,1.0,0.0
Trevor Ruffin,110,24,17.0,41.1,37.1,79.5,1.4,2.9,0.5,1.8,0.0,1.7,9.2,7.3,,,,,,,,2,1,0,0,1.0,0.0
Paul Ruffner,52,0,4.1,44.0,--,50.0,0.9,0.2,0.1,--,0.1,0.8,2.1,1.9,,,,,,,,3,2,0,0,1.0,0.0
Joe Ruklick,114,0,8.0,36.6,--,61.3,2.5,0.4,--,--,--,1.4,3.5,3.5,,,,,,,,3,2,0,0,1.0,0.0
Jeff Ruland,332,189,33.4,56.4,15.8,71.8,10.2,3.0,0.8,3.7,0.8,3.7,17.4,21.7,1.0,2.0,,,,,,8,4,0,0,1.0,0.0
Bob Rule,403,0,29.4,46.1,--,68.6,8.3,1.5,0.4,--,0.4,3.1,17.4,17.5,1.0,,,,,,,8,0,0,0,1.0,0.0
Jerry Rullo,95,0,--,29.2,--,59.1,--,0.7,--,--,--,1.4,2.9,0.4,,,,,,,,4,2,1,1,1.0,0.0
Stefano Rusconi,7,0,4.3,33.3,0.0,40.0,0.9,0.4,0.0,0.4,0.3,1.4,1.1,1.0,,,,,,,,1,0,0,0,1.0,0.0
Brandon Rush,481,163,22.0,42.6,40.2,70.6,2.9,1.0,0.5,0.8,0.5,1.3,6.8,7.2,,,,,,,,9,3,2,1,0.0,0.0
Kareem Rush,346,78,17.2,40.0,35.8,70.3,1.7,1.0,0.4,0.9,0.2,1.3,6.4,4.8,,,,,,,,7,2,1,0,1.0,0.0
Bill Russell,963,0,42.3,44.0,--,56.1,22.5,4.3,--,--,--,2.7,15.1,31.7,12.0,,3.0,8.0,0.0,1.0,0.0,13,13,12,11,1.0,1.0
Bryon Russell,841,393,23.5,43.1,36.9,75.0,3.5,1.3,1.0,1.0,0.2,2.4,7.9,8.8,,,,,,,,13,11,3,0,1.0,0.0
